渔船ID,坐标X,坐标Y,速度,方向,时间,作业类型,海域
闽渔2458,424.92,141.27,8.3,68,2025-06-10 20:00:00,围网,南海北部
闽渔2458,424.06,142.02,14.8,234,2025-06-10 20:00:00,围网,南海北部
闽渔2458,425.64,141.78,8.3,254,2025-06-10 20:00:00,围网,南海北部
闽渔2458,426.78,143.08,13.3,114,2025-06-10 20:00:00,围网,南海北部
闽渔2458,425.37,141.8,10.8,190,2025-06-10 20:00:00,围网,南海北部
闽渔2458,426.66,140.49,10.9,58,2025-06-10 20:00:00,围网,南海北部
闽渔2458,425.71,138.47,14.2,303,2025-06-10 20:00:00,围网,南海北部
闽渔2458,426.57,137.64,14.2,217,2025-06-10 20:00:00,围网,南海北部
闽渔2458,425.87,140.57,13.9,308,2025-06-10 20:00:00,围网,南海北部
闽渔2458,428.31,142.58,9.3,225,2025-06-10 20:00:00,围网,南海北部
闽渔2458,429.94,144.19,8.4,136,2025-06-10 20:00:00,围网,南海北部
闽渔2458,432.65,145.68,12.1,279,2025-06-10 20:00:00,围网,南海北部
闽渔2458,435.54,147.05,11.7,254,2025-06-10 20:00:00,围网,南海北部
闽渔2458,436.45,145.22,8.8,323,2025-06-10 20:00:00,围网,南海北部
鲁渔7854,177.81,328.56,12.3,255,2025-06-29 04:04:00,围网,渤海湾
鲁渔7854,180.11,326.08,13.1,238,2025-06-29 04:27:00,围网,渤海湾
鲁渔7854,182.24,326.47,14.5,318,2025-06-29 04:56:00,围网,渤海湾
鲁渔7854,180.98,327.62,14.3,193,2025-06-29 05:29:00,围网,渤海湾
鲁渔7854,180.96,330.22,14.1,128,2025-06-29 06:02:00,围网,渤海湾
鲁渔7854,183.76,332.04,14.1,169,2025-06-29 06:34:00,围网,渤海湾
鲁渔7854,181.4,333.75,14.6,64,2025-06-29 07:03:00,围网,渤海湾
鲁渔7854,182.17,336.32,13.8,165,2025-06-29 07:31:00,围网,渤海湾
鲁渔7854,181.57,338.65,11.3,156,2025-06-29 08:01:00,围网,渤海湾
鲁渔7854,180.51,339.38,8.5,121,2025-06-29 08:34:00,围网,渤海湾
鲁渔7854,182.81,340.18,13.9,196,2025-06-29 09:01:00,围网,渤海湾
鲁渔7854,183.41,343.06,9.8,321,2025-06-29 09:26:00,围网,渤海湾
鲁渔7854,185.36,340.49,11.2,356,2025-06-29 10:02:00,围网,渤海湾
鲁渔7854,182.49,342.18,9.7,120,2025-06-29 10:32:00,围网,渤海湾
鲁渔7854,181.34,339.44,14.3,308,2025-06-29 10:55:00,围网,渤海湾
鲁渔7854,179.57,337.54,11.1,267,2025-06-29 11:28:00,围网,渤海湾
鲁渔7854,178.12,339.35,13.6,51,2025-06-29 12:04:00,围网,渤海湾
鲁渔7854,177.96,337.2,12.6,294,2025-06-29 12:33:00,围网,渤海湾
鲁渔7854,178.41,339.96,10.4,70,2025-06-29 12:56:00,围网,渤海湾
鲁渔7854,180.81,340.88,11.6,129,2025-06-29 13:26:00,围网,渤海湾
鲁渔7854,181.66,339.38,11.6,237,2025-06-29 14:01:00,围网,渤海湾
鲁渔7854,178.71,341.3,14.2,180,2025-06-29 14:30:00,围网,渤海湾
鲁渔7854,176.79,339.72,12.9,224,2025-06-29 15:00:00,围网,渤海湾
鲁渔7854,178.66,342.15,8.6,293,2025-06-29 15:27:00,围网,渤海湾
鲁渔7854,177.91,344.42,11.6,149,2025-06-29 15:57:00,围网,渤海湾
鲁渔7854,178.49,346.2,10.9,334,2025-06-29 16:34:00,围网,渤海湾
鲁渔7854,,,10.7,351,2025-06-29 17:03:00,围网,渤海湾
鲁渔7854,178.7,346.17,9.6,30,2025-06-29 17:27:00,围网,渤海湾
鲁渔7854,176.52,344.94,9.5,159,2025-06-29 17:56:00,围网,渤海湾
鲁渔7854,174.34,342.22,11.3,226,2025-06-29 18:25:00,围网,渤海湾
鲁渔7854,177.15,339.45,8.5,93,2025-06-29 18:58:00,围网,渤海湾
鲁渔7854,178.07,341.19,12.0,33,2025-06-29 19:30:00,围网,渤海湾
鲁渔7854,175.31,340.67,13.9,248,2025-06-29 19:59:00,围网,渤海湾
鲁渔7854,172.93,338.95,12.5,282,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,173.06,336.75,10.7,301,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,171.26,337.8,14.5,237,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,171.74,337.23,27.6,324,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,173.07,337.08,9.1,69,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,171.04,335.07,12.5,287,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,173.45,336.38,10.3,52,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,171.45,337.59,12.0,336,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,171.36,340.03,11.7,355,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,173.41,340.33,14.5,348,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,172.06,339.14,13.9,303,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,172.21,340.28,8.8,57,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,170.02,341.16,11.8,236,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,172.4,343.58,10.7,97,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,170.5,344.76,11.0,159,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,173.43,347.17,14.6,235,2025-06-29 20:00:00,围网,渤海湾
鲁渔7854,172.7,346.95,11.8,94,2025-06-29 20:00:00,围网,渤海湾
鲁渔1766,551.6,172.39,6.0,141,2025-06-04 04:04:00,拖网,东海近海
鲁渔1766,554.55,172.49,3.4,41,2025-06-04 04:34:00,拖网,东海近海
鲁渔1766,552.48,170.12,3.7,23,2025-06-04 04:58:00,拖网,东海近海
鲁渔1766,550.05,171.83,3.3,210,2025-06-04 05:28:00,拖网,东海近海
鲁渔1766,551.97,170.61,4.9,166,2025-06-04 06:05:00,拖网,东海近海
鲁渔1766,553.91,172.78,4.3,294,2025-06-04 06:25:00,拖网,东海近海
鲁渔1766,553.31,172.98,3.2,340,2025-06-04 07:02:00,拖网,东海近海
鲁渔1766,553.31,175.63,5.9,296,2025-06-04 07:31:00,拖网,东海近海
鲁渔1766,554.75,178.57,2.5,283,2025-06-04 07:59:00,拖网,东海近海
鲁渔1766,553.03,177.87,3.8,348,2025-06-04 08:26:00,拖网,东海近海
鲁渔1766,551.24,180.02,2.9,17,2025-06-04 08:58:00,拖网,东海近海
鲁渔1766,552.68,182.71,2.3,234,2025-06-04 09:28:00,拖网,东海近海
鲁渔1766,550.6,185.53,3.8,77,2025-06-04 10:03:00,拖网,东海近海
鲁渔1766,548.13,183.43,5.4,359,2025-06-04 10:26:00,拖网,东海近海
鲁渔1766,545.53,183.37,4.2,286,2025-06-04 10:58:00,拖网,东海近海
鲁渔1766,544.84,184.13,2.2,301,2025-06-04 11:31:00,拖网,东海近海
鲁渔1766,542.55,183.63,4.2,178,2025-06-04 12:04:00,拖网,东海近海
鲁渔1766,540.82,184.7,3.8,269,2025-06-04 12:35:00,拖网,东海近海
鲁渔1766,541.47,185.36,2.2,260,2025-06-04 13:00:00,拖网,东海近海
鲁渔1766,542.96,183.5,4.5,16,2025-06-04 13:30:00,拖网,东海近海
鲁渔1766,541.56,182.5,5.1,183,2025-06-04 13:56:00,拖网,东海近海
鲁渔1766,542.6,181.73,3.7,1,2025-06-04 14:28:00,拖网,东海近海
鲁渔1766,544.13,182.09,4.2,165,2025-06-04 14:59:00,拖网,东海近海
鲁渔1766,541.36,180.81,5.1,70,2025-06-04 15:33:00,拖网,东海近海
鲁渔1766,541.67,180.78,2.3,269,2025-06-04 15:59:00,拖网,东海近海
鲁渔1766,538.94,179.62,3.4,292,2025-06-04 16:33:00,拖网,东海近海
鲁渔1766,536.61,182.01,4.1,281,2025-06-04 16:57:00,拖网,东海近海
鲁渔1766,535.31,179.25,2.7,25,2025-06-04 17:30:00,拖网,东海近海
鲁渔1766,533.02,182.14,5.9,341,2025-06-04 17:56:00,拖网,东海近海
鲁渔1766,530.65,184.93,3.1,76,2025-06-04 18:27:00,拖网,东海近海
鲁渔1766,531.71,184.99,2.9,113,2025-06-04 18:58:00,拖网,东海近海
鲁渔1766,528.98,185.0,2.7,335,2025-06-04 19:27:00,拖网,东海近海
鲁渔1766,526.98,185.35,3.2,315,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,528.51,184.33,5.2,337,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,530.07,182.12,2.8,19,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,530.7,181.04,4.2,155,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,531.24,182.18,5.2,69,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,534.19,181.73,4.5,70,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,536.13,183.41,5.5,241,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,538.95,184.53,4.4,169,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,540.74,182.64,2.9,356,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,539.4,182.49,2.3,242,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,539.73,184.79,2.1,121,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,541.57,187.14,3.6,250,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,,,2.9,126,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,541.06,186.38,5.7,17,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,539.95,184.34,2.4,174,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,542.54,185.22,3.0,74,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,540.64,184.88,4.5,135,2025-06-04 20:00:00,拖网,东海近海
鲁渔1766,537.98,187.74,2.4,120,2025-06-04 20:00:00,拖网,东海近海
鲁渔3491,391.0,149.0,10.0,301,2025-06-11 04:05:00,流刺网,南海北部
鲁渔3491,390.48,146.74,5.1,54,2025-06-11 04:26:00,流刺网,南海北部
鲁渔3491,389.38,144.83,7.5,10,2025-06-11 05:01:00,流刺网,南海北部
鲁渔3491,389.87,146.63,5.6,67,2025-06-11 05:33:00,流刺网,南海北部
鲁渔3491,388.58,146.94,7.3,156,2025-06-11 06:02:00,流刺网,南海北部
鲁渔3491,389.91,145.31,9.1,294,2025-06-11 06:25:00,流刺网,南海北部
鲁渔3491,390.45,142.35,6.1,60,2025-06-11 06:57:00,流刺网,南海北部
鲁渔3491,390.67,141.68,8.0,121,2025-06-11 07:32:00,流刺网,南海北部
鲁渔3491,388.16,140.94,8.7,143,2025-06-11 08:01:00,流刺网,南海北部
鲁渔3491,387.56,139.36,33.4,57,2025-06-11 08:30:00,流刺网,南海北部
鲁渔3491,388.47,139.63,7.2,167,2025-06-11 08:56:00,流刺网,南海北部
鲁渔3491,388.51,141.06,7.3,339,2025-06-11 09:31:00,流刺网,南海北部
鲁渔3491,387.41,143.15,8.8,183,2025-06-11 09:58:00,流刺网,南海北部
鲁渔3491,390.24,141.1,6.5,143,2025-06-11 10:27:00,流刺网,南海北部
鲁渔3491,388.37,143.63,7.6,260,2025-06-11 10:57:00,流刺网,南海北部
鲁渔3491,386.64,141.3,8.4,254,2025-06-11 11:25:00,流刺网,南海北部
鲁渔3491,388.91,140.93,6.4,179,2025-06-11 11:58:00,流刺网,南海北部
鲁渔3491,386.91,139.21,6.8,234,2025-06-11 12:30:00,流刺网,南海北部
鲁渔3491,388.6,138.87,9.6,131,2025-06-11 12:58:00,流刺网,南海北部
鲁渔3491,391.33,136.29,8.6,315,2025-06-11 13:35:00,流刺网,南海北部
鲁渔3491,390.27,135.53,9.2,174,2025-06-11 13:56:00,流刺网,南海北部
鲁渔3491,391.03,135.9,7.9,87,2025-06-11 14:28:00,流刺网,南海北部
鲁渔3491,393.54,136.88,8.9,299,2025-06-11 14:55:00,流刺网,南海北部
鲁渔3491,394.3,138.0,8.7,164,2025-06-11 15:27:00,流刺网,南海北部
鲁渔3491,391.5,137.75,4.2,238,2025-06-11 16:01:00,流刺网,南海北部
鲁渔3491,392.71,138.43,7.6,191,2025-06-11 16:30:00,流刺网,南海北部
鲁渔3491,394.83,138.93,4.1,220,2025-06-11 16:56:00,流刺网,南海北部
鲁渔3491,394.62,137.32,6.3,143,2025-06-11 17:34:00,流刺网,南海北部
鲁渔3491,394.02,134.77,7.6,103,2025-06-11 18:01:00,流刺网,南海北部
鲁渔3491,395.45,132.65,4.1,172,2025-06-11 18:29:00,流刺网,南海北部
鲁渔3491,392.81,134.1,9.9,324,2025-06-11 19:01:00,流刺网,南海北部
鲁渔3491,394.24,133.88,9.5,54,2025-06-11 19:32:00,流刺网,南海北部
鲁渔3491,393.1,132.19,6.1,286,2025-06-11 19:58:00,流刺网,南海北部
鲁渔3491,394.04,130.76,36.1,116,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,393.18,132.4,8.2,109,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,396.12,130.13,8.8,269,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,398.24,129.6,32.0,245,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,398.0,132.23,6.3,117,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,400.07,132.89,8.8,266,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,401.31,133.09,8.0,254,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,403.19,133.21,7.6,255,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,403.09,135.07,7.7,319,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,400.5,137.31,8.0,117,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,403.01,134.93,9.8,263,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,402.2,137.36,7.6,147,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,402.91,139.66,5.4,243,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,405.32,141.68,8.1,289,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,406.03,139.85,9.0,122,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,406.05,141.53,9.6,211,2025-06-11 20:00:00,流刺网,南海北部
鲁渔3491,404.17,140.7,4.7,332,2025-06-11 20:00:00,流刺网,南海北部
苏渔6905,154.24,362.32,4.8,301,2025-06-15 03:59:00,拖网,渤海湾
苏渔6905,157.19,361.89,4.5,190,2025-06-15 04:25:00,拖网,渤海湾
苏渔6905,156.8,363.67,5.1,213,2025-06-15 04:56:00,拖网,渤海湾
苏渔6905,157.21,363.2,4.8,358,2025-06-15 05:35:00,拖网,渤海湾
苏渔6905,158.81,362.48,4.6,186,2025-06-15 06:05:00,拖网,渤海湾
苏渔6905,158.84,364.78,3.0,306,2025-06-15 06:28:00,拖网,渤海湾
苏渔6905,157.45,363.13,5.9,314,2025-06-15 06:55:00,拖网,渤海湾
苏渔6905,157.47,363.42,5.3,246,2025-06-15 07:34:00,拖网,渤海湾
苏渔6905,156.7,361.08,4.6,291,2025-06-15 08:02:00,拖网,渤海湾
苏渔6905,155.68,360.27,5.6,58,2025-06-15 08:26:00,拖网,渤海湾
苏渔6905,154.53,360.09,3.6,131,2025-06-15 09:04:00,拖网,渤海湾
苏渔6905,155.97,359.2,37.6,229,2025-06-15 09:28:00,拖网,渤海湾
苏渔6905,158.1,360.56,4.9,72,2025-06-15 10:00:00,拖网,渤海湾
苏渔6905,158.84,358.12,2.8,282,2025-06-15 10:33:00,拖网,渤海湾
苏渔6905,157.31,356.35,5.4,58,2025-06-15 10:59:00,拖网,渤海湾
苏渔6905,156.42,353.36,5.7,224,2025-06-15 11:32:00,拖网,渤海湾
苏渔6905,153.85,351.0,5.7,238,2025-06-15 11:58:00,拖网,渤海湾
苏渔6905,151.96,350.0,2.1,179,2025-06-15 12:32:00,拖网,渤海湾
苏渔6905,149.4,348.71,3.5,223,2025-06-15 12:57:00,拖网,渤海湾
苏渔6905,148.66,348.42,4.6,314,2025-06-15 13:32:00,拖网,渤海湾
苏渔6905,147.24,347.88,5.0,71,2025-06-15 13:59:00,拖网,渤海湾
苏渔6905,147.34,347.42,2.4,320,2025-06-15 14:34:00,拖网,渤海湾
苏渔6905,145.46,346.71,5.0,321,2025-06-15 15:01:00,拖网,渤海湾
苏渔6905,145.03,349.08,5.6,218,2025-06-15 15:27:00,拖网,渤海湾
苏渔6905,147.42,350.64,5.4,323,2025-06-15 16:00:00,拖网,渤海湾
苏渔6905,148.59,351.12,3.3,188,2025-06-15 16:33:00,拖网,渤海湾
苏渔6905,148.4,348.17,2.4,255,2025-06-15 17:00:00,拖网,渤海湾
苏渔6905,147.41,350.27,3.3,227,2025-06-15 17:34:00,拖网,渤海湾
苏渔6905,145.65,347.71,4.0,173,2025-06-15 17:59:00,拖网,渤海湾
苏渔6905,143.18,345.11,5.7,212,2025-06-15 18:27:00,拖网,渤海湾
苏渔6905,142.35,347.85,4.9,259,2025-06-15 19:01:00,拖网,渤海湾
苏渔6905,140.45,345.36,4.4,4,2025-06-15 19:32:00,拖网,渤海湾
苏渔6905,142.24,345.83,4.2,128,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,144.22,344.88,4.8,146,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,145.94,343.02,3.1,34,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,143.14,343.29,5.0,82,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,141.85,341.81,3.8,348,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,143.81,344.45,4.5,42,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,143.55,346.73,5.3,20,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,141.6,348.92,2.7,314,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,140.91,349.33,2.3,122,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,143.44,348.01,5.3,273,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,142.88,348.3,4.3,194,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,145.06,346.48,5.0,46,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,147.68,346.47,3.1,237,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,148.24,346.03,4.9,19,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,147.91,347.38,28.1,113,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,146.88,348.46,2.1,114,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,147.85,346.46,5.0,15,2025-06-15 20:00:00,拖网,渤海湾
苏渔6905,149.42,345.76,4.2,255,2025-06-15 20:00:00,拖网,渤海湾
闽渔8482,120.22,345.56,5.7,207,2025-06-02 04:04:00,流刺网,渤海湾
闽渔8482,118.5,346.45,6.8,12,2025-06-02 04:32:00,流刺网,渤海湾
闽渔8482,,,9.2,107,2025-06-02 04:56:00,流刺网,渤海湾
闽渔8482,120.98,346.67,5.4,288,2025-06-02 05:31:00,流刺网,渤海湾
闽渔8482,119.3,343.82,9.8,270,2025-06-02 05:58:00,流刺网,渤海湾
闽渔8482,116.8,342.56,8.1,327,2025-06-02 06:34:00,流刺网,渤海湾
闽渔8482,118.32,340.79,9.6,240,2025-06-02 07:01:00,流刺网,渤海湾
闽渔8482,120.47,342.34,4.9,330,2025-06-02 07:27:00,流刺网,渤海湾
闽渔8482,120.35,344.74,6.4,28,2025-06-02 08:00:00,流刺网,渤海湾
闽渔8482,122.97,343.52,5.2,302,2025-06-02 08:32:00,流刺网,渤海湾
闽渔8482,122.61,344.78,28.4,338,2025-06-02 09:03:00,流刺网,渤海湾
闽渔8482,124.4,347.39,7.6,80,2025-06-02 09:26:00,流刺网,渤海湾
闽渔8482,126.42,347.21,9.5,35,2025-06-02 10:00:00,流刺网,渤海湾
闽渔8482,125.69,347.56,4.2,23,2025-06-02 10:26:00,流刺网,渤海湾
闽渔8482,124.15,345.05,7.4,338,2025-06-02 11:03:00,流刺网,渤海湾
闽渔8482,124.13,344.1,5.2,114,2025-06-02 11:32:00,流刺网,渤海湾
闽渔8482,122.35,342.81,9.8,321,2025-06-02 12:01:00,流刺网,渤海湾
闽渔8482,124.03,340.91,4.4,33,2025-06-02 12:27:00,流刺网,渤海湾
闽渔8482,122.34,338.13,9.8,244,2025-06-02 13:04:00,流刺网,渤海湾
闽渔8482,121.53,339.37,7.1,24,2025-06-02 13:26:00,流刺网,渤海湾
闽渔8482,119.89,339.82,6.4,221,2025-06-02 14:01:00,流刺网,渤海湾
闽渔8482,117.18,339.18,5.9,47,2025-06-02 14:29:00,流刺网,渤海湾
闽渔8482,115.29,338.54,8.8,55,2025-06-02 15:04:00,流刺网,渤海湾
闽渔8482,113.8,336.3,9.2,144,2025-06-02 15:30:00,流刺网,渤海湾
闽渔8482,110.86,335.25,5.4,182,2025-06-02 15:58:00,流刺网,渤海湾
闽渔8482,112.71,332.56,8.2,348,2025-06-02 16:29:00,流刺网,渤海湾
闽渔8482,113.0,334.91,8.9,77,2025-06-02 17:04:00,流刺网,渤海湾
闽渔8482,111.74,337.3,5.0,187,2025-06-02 17:27:00,流刺网,渤海湾
闽渔8482,109.64,337.79,9.2,75,2025-06-02 18:04:00,流刺网,渤海湾
闽渔8482,112.01,336.54,10.0,273,2025-06-02 18:29:00,流刺网,渤海湾
闽渔8482,113.69,336.87,5.5,173,2025-06-02 19:05:00,流刺网,渤海湾
闽渔8482,115.02,339.11,6.7,266,2025-06-02 19:34:00,流刺网,渤海湾
闽渔8482,116.74,336.91,4.4,317,2025-06-02 19:58:00,流刺网,渤海湾
闽渔8482,118.6,334.95,5.4,334,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,119.1,335.67,7.5,132,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,116.14,338.24,6.4,273,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,113.27,337.18,5.4,295,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,113.39,335.7,9.9,10,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,111.58,332.92,6.6,349,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,112.23,331.76,5.8,299,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,112.54,332.08,6.4,79,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,112.27,334.56,5.3,27,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,110.38,333.15,5.2,172,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,112.98,331.34,6.8,58,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,110.84,334.06,6.0,118,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,112.72,333.66,5.1,75,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,111.98,332.34,6.8,288,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,114.7,331.95,4.8,244,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,113.85,329.87,8.7,130,2025-06-02 20:00:00,流刺网,渤海湾
闽渔8482,111.8,327.97,4.6,279,2025-06-02 20:00:00,流刺网,渤海湾
闽渔9321,562.75,279.24,5.2,128,2025-06-11 04:02:00,拖网,东海近海
闽渔9321,559.96,279.78,4.8,214,2025-06-11 04:29:00,拖网,东海近海
闽渔9321,561.28,276.94,3.2,194,2025-06-11 04:59:00,拖网,东海近海
闽渔9321,560.98,277.2,4.8,112,2025-06-11 05:34:00,拖网,东海近海
闽渔9321,558.03,278.65,3.4,344,2025-06-11 05:56:00,拖网,东海近海
闽渔9321,556.29,280.53,3.4,269,2025-06-11 06:28:00,拖网,东海近海
闽渔9321,557.0,280.14,3.2,62,2025-06-11 07:01:00,拖网,东海近海
闽渔9321,559.88,277.82,2.2,56,2025-06-11 07:35:00,拖网,东海近海
闽渔9321,560.21,275.4,4.6,191,2025-06-11 07:58:00,拖网,东海近海
闽渔9321,559.92,275.21,5.9,313,2025-06-11 08:32:00,拖网,东海近海
闽渔9321,562.35,275.03,3.1,250,2025-06-11 08:55:00,拖网,东海近海
闽渔9321,562.48,276.64,5.4,91,2025-06-11 09:35:00,拖网,东海近海
闽渔9321,562.66,274.57,2.7,343,2025-06-11 09:57:00,拖网,东海近海
闽渔9321,561.37,275.29,2.6,168,2025-06-11 10:27:00,拖网,东海近海
闽渔9321,560.32,277.62,5.7,121,2025-06-11 10:56:00,拖网,东海近海
闽渔9321,558.55,275.4,3.1,255,2025-06-11 11:35:00,拖网,东海近海
闽渔9321,,,5.6,271,2025-06-11 12:01:00,拖网,东海近海
